timestamp_utc,elapsed_s,camera,label,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,distance_m,angle_deg
2026-04-01T14:37:10.328Z,1.655,pi:0,bottle,0.7848,591.00,309.00,674.00,563.00,0.684,-10.243
2026-04-01T14:37:10.400Z,1.727,pi:0,bottle,0.7957,591.00,308.00,673.00,563.00,0.681,-10.258
2026-04-01T14:37:10.442Z,1.770,pi:0,bottle,0.7776,591.00,310.00,674.00,562.00,0.689,-10.243
2026-04-01T14:37:10.470Z,1.798,pi:0,bottle,0.7776,591.00,311.00,673.00,563.00,0.689,-10.258
2026-04-01T14:37:10.506Z,1.833,pi:0,bottle,0.7776,591.00,309.00,674.00,563.00,0.684,-10.243
2026-04-01T14:37:10.564Z,1.892,pi:0,bottle,0.7667,592.00,310.00,673.00,562.00,0.689,-10.243
2026-04-01T14:37:10.606Z,1.934,pi:0,bottle,0.7739,591.00,310.00,673.00,563.00,0.687,-10.258
2026-04-01T14:37:10.671Z,1.998,pi:0,bottle,0.7776,593.00,309.00,670.00,563.00,0.684,-10.274
2026-04-01T14:37:10.721Z,2.048,pi:0,bottle,0.7921,592.00,309.00,673.00,563.00,0.684,-10.243
2026-04-01T14:37:10.783Z,2.110,pi:0,bottle,0.7812,590.00,310.00,673.00,563.00,0.687,-10.274
2026-04-01T14:37:10.822Z,2.149,pi:0,bottle,0.7885,591.00,309.00,673.00,563.00,0.684,-10.258
2026-04-01T14:37:10.875Z,2.203,pi:0,bottle,0.7667,592.00,310.00,674.00,563.00,0.687,-10.227
2026-04-01T14:37:10.936Z,2.263,pi:0,bottle,0.7812,591.00,309.00,673.00,563.00,0.684,-10.258
2026-04-01T14:37:10.987Z,2.315,pi:0,bottle,0.7885,590.00,310.00,673.00,563.00,0.687,-10.274
2026-04-01T14:37:11.043Z,2.371,pi:0,bottle,0.7812,591.00,309.00,674.00,562.00,0.687,-10.243
2026-04-01T14:37:11.086Z,2.413,pi:0,bottle,0.7848,591.00,309.00,673.00,563.00,0.684,-10.258
2026-04-01T14:37:11.140Z,2.468,pi:0,bottle,0.7667,590.00,309.00,673.00,563.00,0.684,-10.274
